0_n	0_p	1_n	1_p	2_n	2_p	3_n	3_p	4_n	4_p	5_n	5_p	6_n	6_p	7_n	7_p	8_n	8_p	9_n	9_p	10_n	10_p	11_n	11_p	12_n	12_p	13_n	13_p	14_n	14_p	15_n	15_p	16_n	16_p	17_n	17_p	18_n	18_p
NCOA6	0.00018251808142440523	PTDSS2	0.018133267486966177	ITFG1	0.47768859099926475	TEP1	2.1414885543000258e-06	MAGED2	0.9859868518252449	AC007381.1	0.14785817863030523	RNF175	0.023994887439821283	LRRC14	0.8672384208295089	RCOR3	4.747751228471218e-10	CD58	6.458909678723341e-05	CLDN7	2.3359856398095464e-11	ZNF813	8.717693082705414e-10	AC108471.2	0.7273451479270712	SPAST	3.671254042685739e-07	TNFAIP2	6.68464363011879e-26	ID1	0.0020395681155904706	TSTD3	0.07965280659809419	TGFBR1	0.0070880174730775965	DEDD2	0.45316875700479964
PARM1	0.00018031317966920563	CERNA1	0.017969766823578304	MSMP	0.47029595812882363	SNX16	2.112670501157973e-06	ZNF331	0.9493685034247776	POFUT1	0.14772738314667366	CIITA	0.023878446410566464	CYP1B1	0.8593241079483939	TMEM39A	4.0299040402618e-10	CCDC138	6.44920371683827e-05	NSD2	2.279357632258276e-11	CPB2-AS1	8.568190651752369e-10	CRTAP	0.7259986891602901	IFIT2	3.6487069043581346e-07	HLA-DPA1	6.383696121090154e-26	SLC35A1	0.002037013964048506	DEPDC5	0.07945792079168745	SLC25A24	0.007073706363523336	AC006460.2	0.4525819103042694
ZNF251	0.00017584010788051848	NAPRT	0.017945106984289017	AC106798.1	0.4692259545847035	DCAF10	2.084225112492297e-06	AC023509.6	0.9318552797680315	PKIG	0.14665169204832346	CTIF	0.02384098948458407	FCER1G	0.8449003797939368	LINC01422	3.499852288510719e-10	AC008269.1	6.447264181811524e-05	PPP1R13B	2.2659681758416244e-11	TDRKH-AS1	8.535309058870376e-10	RNPEP	0.7258763257210464	HLA-DMA	3.5692673177828765e-07	AL136456.1	6.296059294251366e-26	SLC52A2	0.0020344627476239336	MAP3K9	0.07923104419886275	H6PD	0.007059421203652341	ATG2A	0.45082394844249996
SHPRH	0.00017549507998983638	WDFY2	0.01793032531444925	MGAT5	0.46765683075441344	TOM1L2	2.083071925274313e-06	ZFP36L2	0.9313630172091714	NAGK	0.14538815725615295	KANK3	0.02380358353502204	PRPF4	0.8412051619385994	SESN3	3.2345832905235474e-10	ATP13A3	6.416306607730472e-05	LINC01684	2.1701041831701132e-11	OLMALINC	8.510728662211749e-10	TRDC	0.7250199777008234	UNC50	3.559847505775278e-07	NLK	5.990327222597098e-26	AUP1	0.0019679146041898707	USP13	0.07906931225161226	IMMP2L	0.007035670159638972	CHST15	0.44906985900099416
EFHD2	0.00017466960883964698	PHF21A	0.01792540046205188	SMIM14	0.46323234080697673	ZBTB37	2.064704066597939e-06	CTSS	0.9202720592519643	BLVRA	0.14296579646442809	ABHD5	0.023639601543280004	AC243829.2	0.833340277496446	JARID2	2.6619687933640736e-10	SACS	6.370133941026578e-05	CPED1	2.1404432352774548e-11	ATPAF2	8.413095640442302e-10	CDCA2	0.7250199777008234	COMMD2	3.503830523694995e-07	CEP128	5.973780415618656e-26	FCGR2B	0.001954355621785077	WDR20	0.07897240204318165	DHRS1	0.007026189851539758	RBBP9	0.44906985900099416
KCNJ15	0.00017384779019293737	SPDYA	0.017861485135256608	POU2F2	0.4535351752978931	MTO1	2.018343760674451e-06	MRPL10	0.9047355380028455	BTK	0.14079493350200362	FANCE	0.023557978748131394	AC104984.3	0.8219611248505954	ATAD2	2.6038715924303237e-10	BLZF1	6.358640014999912e-05	CALML4	1.9686955825802386e-11	FAM135A	8.405009043419732e-10	L3MBTL2	0.7231861051555841	CPED1	3.4669595815074826e-07	KAZN	5.918950915341252e-26	RMDN1	0.0019421037554173287	ST3GAL3	0.07890784893062874	AC104596.1	0.006983670272646239	LINC01500	0.4484860241736117
MSH5	0.0001733019328445564	ACTR1A	0.017773316662021768	LINC01857	0.4501978067794301	PCNX4	1.9960934437258406e-06	GOLGA5	0.8934182990451996	AC245452.1	0.1405430637972587	MAP4K3	0.02343231548420135	LNX2	0.7919810215181325	CCDC71	2.5932495927078746e-10	PDE5A	6.339527085450085e-05	AGO4	1.951320708241998e-11	RAPGEF5	8.405009043419732e-10	AC022916.1	0.7231861051555841	SGK1	3.3496975515636567e-07	CCDC138	5.864620283680847e-26	AL354696.2	0.001938441970616397	ENPP2	0.07826467587498107	DNAJC25	0.006974252918869837	IGSF1	0.44790262056779095
PDE4A	0.00017262187782796524	SESTD1	0.01770013449848026	SNX9	0.44866469498241557	CGAS	1.9949871357574537e-06	NFIL3	0.8786142997938738	ZBTB39	0.13947648172452548	RHOQ	0.02343231548420135	AP002954.1	0.7822282644180276	AC005726.5	2.444905057768201e-10	MGAT5	6.271169857879226e-05	TUBGCP3	1.9436468202311866e-11	METAP1D	8.388858585942971e-10	SERTAD3	0.7224530003104367	ABHD2	3.3408377258207893e-07	ZNF438	5.778717706654393e-26	CD226	0.0019311374118307233	TRRAP	0.0782326295721598	ATP8B1	0.006969548520507065	OSBPL3	0.44731964841904204
CHST12	0.0001719443332695783	KYAT3	0.017477353380298346	INPP5A	0.4401729188015382	SRGAP2	1.944728867852618e-06	SRCAP	0.8767500293641584	FBXO6	0.1386962132464537	ATE1	0.02318273343008371	RNF19A	0.7805106898944174	ZDHHC7	2.4190186921608064e-10	AC243829.4	6.233495726184887e-05	STXBP5-AS1	1.8419882157626338e-11	PPM1L	8.348614749785038e-10	ECE1	0.7218422741684936	CLDN7	3.3408377258207893e-07	FOXO3	5.715110358930315e-26	AC073896.2	0.0019160006916995483	EAF1-AS1	0.0782326295721598	ATP13A3	0.006969548520507065	TULP2	0.4461549994298295
AL139260.1	0.000171336682489586	DIAPH2	0.017472537739515168	PTPRK	0.4375021294410274	P4HA1	1.918992306825516e-06	KLHL6	0.8704521413222507	GPCPD1	0.13516548171455225	SEC61A2	0.023117055218318628	BRPF3	0.7757452904603036	BTBD8	2.2195219109707923e-10	BAG4	6.092279024676575e-05	MEGF9	1.7856252861488525e-11	ICA1L	8.103273268458884e-10	TNFSF9	0.7200111606791455	ARHGEF40	3.1431948607946965e-07	UBE2R2-AS1	5.337919442892159e-26	AC002460.2	0.0019153974952937115	EXOC4	0.07820059395163774	DNAJC27	0.006964846972506955	LINGO2	0.4458641072084242
C1orf112	0.00017066388409523334	C8orf76	0.017357310848876612	SLC22A18	0.42989564023049487	SLC2A3	1.914734818175745e-06	MICOS10	0.8557160185007112	DNAJB12	0.13490616976439737	ZNF584	0.02310248202293041	SIPA1L1	0.7713685631596523	ATF7IP	2.1425450098859547e-10	VPS54	6.0046559919999526e-05	AL158152.1	1.7114034929701496e-11	PCDH9-AS2	7.994792541223368e-10	AC004241.3	0.7194011456749374	LINC02391	2.99644062547508e-07	LARGE1	5.298650389808735e-26	ZNF85	0.0019117819775234214	TIAM1	0.07810455115973691	PCGF6	0.006964846972506955	SEC16A	0.4458641072084242
ACSL4	0.00016819607523226447	EXOC8	0.016987412948553254	TLE3	0.4283709187016056	MIR4458HG	1.8830916660380706e-06	P2RX5	0.8440246601371378	BTBD9	0.13455594812916402	KMO	0.023080637189053763	AC002429.2	0.7545021542410553	CKB	2.0749881964159727e-10	AC010531.3	5.939723278889031e-05	BMPR2	1.681238735729619e-11	EZH2	7.933440911269904e-10	SLC9C1	0.7191571896806987	KIAA1328	2.977908372718028e-07	FMNL2	5.211338929559878e-26	SAT1	0.0018866483232223802	IFT43	0.07794469326067938	HELZ2	0.006903985554415794	AC008115.1	0.44354086232019585
CRADD	0.00016533766929782392	AL358790.1	0.01688434143508938	HOMER3	0.4281171046982818	ITPRID2	1.7546143513272215e-06	MSRA	0.8384776160289882	S100A6	0.13270999117389215	AC024560.5	0.022928225020328763	LINC02446	0.7296096853980631	WARS	2.0495627629938492e-10	PCGF3	5.854180136157678e-05	TBC1D31	1.573466544480371e-11	CCDC141	7.880135128717055e-10	MSRB1	0.7184254934458487	TPRG1	2.969999903499524e-07	SH2B1	4.673247476408216e-26	TSC22D1	0.0018854590871765226	AC146944.4	0.07788082474202983	AC074099.1	0.006871412298625188	MYO9B	0.443250943749946
KLRC1	0.00016465458922982213	NFS1	0.016872663566522797	SFT2D1	0.4223035817274633	FAM161B	1.7197558020522876e-06	TCTEX1D2	0.8326750274662221	OXLD1	0.13045246844507188	SPAST	0.022920989155940763	S100A11	0.72946956424773	C19orf47	1.9897770544413354e-10	NUP155	5.8065761973311406e-05	RPS10-NUDT3	1.568802585851891e-11	TEP1	7.857396887754667e-10	WBP2NL	0.7170847211204397	PCBP1-AS1	2.9673682567627764e-07	AC073115.2	4.48702567086733e-26	TLE1	0.0018004817294704242	SIMC1	0.0768963011958457	SH2D3C	0.006866770265007299	SMYD3	0.442092353015755
ARHGAP22	0.0001643302470322604	CARNMT1	0.01681438050180921	RPF2	0.4182555271622844	TMEM163	1.716881158315641e-06	IRAK1	0.8319722958424639	AFF3	0.13024468025963834	CHST7	0.022855955591119255	CEBPB	0.7240119280823286	DENND1A	1.8370405541434572e-10	P2RX4	5.762825558652006e-05	C2CD3	1.5518169490270622e-11	AGFG2	7.75960184497519e-10	SLA	0.7140407573405105	WDFY1	2.946395990080673e-07	DCAF10	4.3361375789407364e-26	JARID2	0.001757653630163967	AC242426.2	0.07658088551852274	DRAM1	0.00684360233328092	AC090559.1	0.4400689952236606
PCNA	0.0001623327036928702	KCNN4	0.01678646745917274	AL121944.1	0.4163805224662315	GPR160	1.71210034480285e-06	AC009303.2	0.8059830287254227	HDAC9	0.12918010989063278	TFCP2	0.02280548481316668	EGR3	0.7232666667135459	TMEM205	1.8264727033362487e-10	SLC1A7	5.738461765438689e-05	BRPF3	1.533492550678227e-11	FAM126A	7.714867085942897e-10	HOMER2	0.7131892598968681	AC009120.2	2.935963602771219e-07	DDX58	4.04554409889666e-26	KMO	0.0017443248160218792	INPP5B	0.0765494020534055	CRNKL1	0.006815893540578924	NTHL1	0.4380509605254882
TSHZ2	0.0001619487308475323	NACA2	0.016550844395140974	AL357153.2	0.41466613322878243	NCF4	1.6771178528182888e-06	INF2	0.8050243776486731	CCDC183	0.12853287402953867	C3orf33	0.022769493567405357	PTPN13	0.7024160057065849	SYNE2	1.5004673206420973e-10	ATRN	5.7315186208582315e-05	MYRIP	1.5274316390636997e-11	C1orf112	7.707435790995694e-10	RNASE2	0.7125812660849623	SASS6	2.6437659404083654e-07	ARSG	4.038065200895238e-26	AL035587.2	0.0017387986233808048	ATE1	0.07598450215976157	AC022137.4	0.006815893540578924	FBXW7	0.4326003446785429
PCNX2	0.00016013650184407372	OXLD1	0.01650498592861093	NAB1	0.41342193024265816	CENPP	1.6557193417976493e-06	Z99496.2	0.7970181752789318	GCSAM	0.12853287402953867	AL591043.2	0.022733551684573434	HSPA1B	0.7007573414293988	LPP	1.4942683051802267e-10	TOR2A	5.526886214158772e-05	P3H1	1.5004465958680612e-11	NBEA	7.633505822878127e-10	NCALD	0.7101511203536311	ITPK1	2.6390641051403734e-07	AC103691.1	3.715329565356334e-26	USO1	0.0017168544582714547	CALN1	0.07592194598368623	CASTOR3	0.0068112852223561685	MKLN1	0.4320288885175624
TMCO4	0.00015731389296842196	FUNDC2	0.016223146608988343	AL353801.3	0.41261438500834435	SPDYA	1.6464977164917784e-06	PRKCB	0.7791265018313344	AC018816.1	0.12800519440868602	RAP2C-AS1	0.022604568786916083	SLC29A3	0.6992841696088602	NR2C2	1.4782677577995199e-10	MDC1	5.4403787952120077e-05	CRYBG3	1.497477234873306e-11	CEP164	7.604127917879465e-10	LGR6	0.707966505636275	FRMPD3	2.6040568836145153e-07	AL050309.1	3.681087741995413e-26	SLC16A4	0.0016876337651309506	PSMD5	0.07579695968745852	TTC37	0.0068066797041818955	MAML2	0.4300322389739214
CTBP1	0.00015505890518933746	RECQL	0.01608829754642835	AL450344.3	0.4110640435367968	TBCEL	1.6400719735238412e-06	HSPA1B	0.7769250044763019	TBC1D24	0.12726053365891724	RAB11FIP3	0.0225260594007131	ID2	0.6968926802710294	ZNF557	1.331611471702013e-10	MTRR	5.407449560300831e-05	AC106791.1	1.4250855831035286e-11	SLC38A9	7.509409374845639e-10	GPATCH1	0.707845208396563	MAP2K5	2.5971094672140153e-07	CD84	3.6742770119563543e-26	AC116535.1	0.0016631036552110065	PRKG2	0.07564096297325357	EPSTI1	0.006783694062640088	ZNF669	0.4283250978269668
DHX34	0.00015383623363569455	CD8B	0.015764272850876143	AC068389.3	0.4093317735394024	FNDC3B	1.6119037156877418e-06	CA13	0.7684811537023574	FAM13B	0.12583908295386662	LINC00685	0.022476222378592814	PTGER4	0.688088790041133	MAP2K6	1.2595209541467473e-10	IBA57	5.338911824283412e-05	AC120193.1	1.3360816256938377e-11	GXYLT1	7.408691870196229e-10	AL592435.1	0.7056631283324797	TEP1	2.583268305546559e-07	RNF2	3.459600428712359e-26	PXK	0.0016420402312211423	ZRANB3	0.07557863769651543	ENPP2	0.0067768119858280405	LINC00685	0.42718919775939745
HMGCR	0.0001526528709063794	SKA2	0.015667753836141534	CSF2RB	0.40581881402906794	TMEM161B	1.6006776161209583e-06	NFKB1	0.7645700446694693	APOL1	0.12340267613920036	MAPKBP1	0.022405192909582084	JAZF1-AS1	0.6828813178658517	BRAF	1.2532544153393546e-10	AC116337.3	5.169577239617661e-05	DPY19L3	1.3307859608263375e-11	GALNT11	7.190341202525535e-10	ARRDC4	0.7049363048136726	RAB35	2.580968383463086e-07	ENTPD1-AS1	3.343002838720131e-26	CEP128	0.0016409935321226585	AC027018.1	0.07557863769651543	FAM169A	0.006760778202202335	AC010168.1	0.4269054972265157
AP002383.2	0.00015183864515225023	PTAR1	0.015637152458058256	UVRAG	0.4057880784846194	SFMBT2	1.5753624400886173e-06	CD2	0.760707811830994	PRDM4	0.12239608621348638	ABAT	0.022334358669331686	PHOSPHO2	0.6821516439450377	ITGAL	1.175489075332893e-10	NEURL4	5.1163493089674104e-05	MATN1	1.3228809892108103e-11	PJVK	6.931237606035925e-10	SRC	0.7042097505406468	ZNF561	2.475075130005664e-07	AC093484.2	3.299908046084013e-26	CTDSP1	0.0016389019756296256	KRIT1	0.07554749077899821	B4GALT7	0.006751631355724964	TLR2	0.4269054972265157
CAMKMT	0.00015141806526873964	RUNX1	0.015610964571173915	LIMS1	0.4011935096914543	SCN11A	1.573600463279409e-06	CNTNAP4	0.7480051798183026	RAB24	0.12228307099709038	MTMR2	0.022249614672013633	CUL4B	0.6804198600446358	FRMD3	1.1256616734121863e-10	EPDR1	5.091480990073807e-05	SEC16A	1.2904357469632935e-11	CCDC84	6.931237606035925e-10	MGST1	0.7015480313706732	USP13	2.470663422947815e-07	SS18L1	3.2573640257594763e-26	ST6GALNAC3	0.0016316008318194724	ICA1L	0.07545411288094724	APOM	0.006742495633238422	SCFD1	0.4260550547878551
GK5	0.0001512381526789107	ZFP14	0.015450323661682286	SNHG25	0.40040030604637744	IRAK1	1.569203805648141e-06	SLC9C1	0.7462142665119036	MED13L	0.12058364331766526	LINC01376	0.02220030991434425	LST1	0.6644591443037872	MYO1D	9.422471782891343e-11	SLC25A24	5.002290294005839e-05	ARHGAP22	1.2738735744687067e-11	AC005237.1	6.585012055154395e-10	SLA2	0.7011853523665252	LINC01684	2.396816537018164e-07	OLR1	3.203462650654202e-26	CDC123	0.001618120924023443	ZCCHC4	0.0754230078584013	MTMR2	0.006724257513499151	INPP5B	0.4260550547878551
EEPD1	0.0001510584413451383	N4BP1	0.015420096334804978	AC005786.3	0.39814789055984634	FOSL1	1.5674484512403915e-06	CSF1R	0.7381297624586836	FAM3C	0.11998418605778902	GABBR1	0.022186240304687254	MRPL20	0.6569841393564663	AC005480.1	8.95337776948593e-11	HELZ2	4.9506967485321346e-05	AREL1	1.2205607277979053e-11	STX3	6.471310017643819e-10	ARHGAP44	0.7010644744901059	SRGAP2	2.3776286050437218e-07	PKN2-AS1	3.1916051698366393e-26	ATF6	0.0015986038294426483	SZT2	0.07529869242134202	DHX57	0.0066969834719602765	RNF8	0.4257717937774911
ZCCHC14	0.00014980607960809678	ZNF316	0.015389921071172975	TRAK1	0.3973886679159967	VAMP7	1.5543433308466748e-06	C3orf33	0.7319370239029248	RFT1	0.11978951833855205	LINC02404	0.021916907803154865	AL139260.1	0.6414252829024412	LINC01806	8.507142900173868e-11	SASS6	4.920583659575212e-05	H1FX	1.1988983287559554e-11	KIAA1958	6.28604937212664e-10	ANXA4	0.6970797660564312	ZNF251	2.3313474753788875e-07	NOX3	3.173900480918184e-26	DENND6A-AS1	0.0015986038294426483	GASK1B	0.07517454431367634	SIRT3	0.00668338377813604	FGD4	0.42322739502668705
AC067945.4	0.00014715528793180966	CR1	0.01528257615111513	AC009831.1	0.3965393757853153	PEA15	1.5517349770713437e-06	IGSF6	0.7199831991451837	DPP3	0.11912396376821777	CBWD2	0.021892564685300916	PLEKHA2	0.6400912208443357	ARID2	7.608271173873354e-11	FKBP5	4.801858793484055e-05	AC023509.6	1.1834879277885154e-11	SYNGR1	6.147530496857223e-10	CLEC4E	0.6950302855866552	MAN1C1	2.3168050708476895e-07	MICAL2	3.173900480918184e-26	GTF2H4	0.0015256157103535105	AL139099.1	0.07514353341391543	CYSLTR2	0.006674331113726244	SYTL2	0.42041075134498385
ALDH16A1	0.00014715528793180966	EFR3A	0.015239823099731018	S100A9	0.3932436503056971	DLGAP4	1.5404806558517024e-06	CYP1B1-AS1	0.7128769912690879	POLR3F	0.11807610018437344	BEST1	0.021857829614069187	PPP3CA	0.6399134336498156	ECPAS	7.282689975374487e-11	PRKCE	4.778442029358659e-05	CD83	1.1601577544183105e-11	PTRH2	6.135627106606979e-10	GLRX3	0.6935849330885	CCDC84	2.3126662217508826e-07	SWAP70	3.132967263717891e-26	GATA3	0.0015090650962263218	AC116337.3	0.07505056338127593	STX1A	0.006660772785285561	SNTB1	0.4201296937804998
AC008115.1	0.00014628154944004905	ST6GALNAC3	0.015235553591996185	GADD45A	0.39155690538488797	SYNE1	1.5301617330528919e-06	TIMP2	0.709270314228087	EIF2AK4	0.11500277105918086	MTMR9	0.021712465469219178	CD79B	0.6300789007293905	AL117379.1	6.621445217477714e-11	AVL9	4.775522558065839e-05	TIMP2	1.1384116740084972e-11	FMNL3	6.111887752518047e-10	SUCLA2	0.6918399521722929	LPCAT3	2.3044099443898716e-07	ASCC1	3.0583319732112944e-26	ELOVL5	0.0015003701215275242	LINC01362	0.07458712115892337	MAN2A2	0.006606786750749556	ADAP2	0.4201296937804998
AC058791.1	0.0001453549472691346	ZNF461	0.01488901827080302	TMEM127	0.3912561636745522	ZNF251	1.5139592168987599e-06	AP002807.1	0.6985729392438538	MYO9B	0.11052421830061908	AL022323.4	0.021677979231138695	CAPN5	0.6297257102904246	DROSHA	6.588027067316563e-11	PAPOLG	4.677260797453584e-05	AL355916.1	1.0755414642628161e-11	MED26	6.017823310069734e-10	HIST1H4I	0.6899764356457387	NISCH	2.2554671031059712e-07	RBM47	2.952409375498513e-26	LIPA	0.0014755099104044739	AC009315.1	0.0744947138476235	PPP1R12B	0.00651325721532046	LYPLA2	0.4190065679766304
PKNOX1	0.0001450088985667579	SERPINB1	0.014722510893650415	HIST1H2BD	0.3912561636745522	CRADD	1.5122633161137455e-06	TTF1	0.6947014264249465	CMSS1	0.10728844261616073	NEURL4	0.021622900415992706	NAALADL2	0.6256701208208271	FCAR	5.055739896671857e-11	FGL2	4.64019924967055e-05	SLFN11	1.0417501580442893e-11	LRRFIP2	5.971322287938997e-10	DUSP11	0.6887151198569419	NDC1	2.2055534881685263e-07	ATP6V1A	2.900820100568049e-26	SCARB2	0.0014726659817302869	TFCP2	0.07424875157592932	SPDYA	0.00651325721532046	IL21R	0.41564780587777705
MTRNR2L8	0.0001422117320976744	KIAA1586	0.01454944662357209	SNX8	0.3883462526571646	GIT2	1.498761706708311e-06	PDSS1	0.6686478135974852	C1orf61	0.10609612907974235	LDAH	0.021519955913002847	ELOVL5	0.6248779539438243	PRKAG1	4.508078719536497e-11	PIP5K1B	4.609057151875541e-05	MS4A7	1.0201421703082596e-11	EDARADD	5.965534369467101e-10	KIAA2013	0.6874546689719476	HDAC9	2.2055534881685263e-07	CCDC120	2.8873931563454545e-26	DNAJC30	0.0014547714170809025	WARS2-AS1	0.0741566869981632	AC013270.1	0.006495577691127453	RPRD2	0.41453176180312135
LINC01340	0.00014030078979899714	BORA	0.014520777631235196	TIMM17A	0.38515168667936994	MAN2B1	1.4945662749544138e-06	LILRA5	0.6583512357142568	ITPR1	0.10238558134114129	CLEC16A	0.021444734721464718	TTC27	0.6154933647622617	CASC19	4.4509352158716105e-11	MAP2K5	4.550153619576343e-05	LIMD1	1.0079925341290965e-11	ATE1	5.965534369467101e-10	RHOT1	0.6863749732419957	ARHGAP22	2.1240919834125664e-07	MTRNR2L8	2.7667204899157993e-26	TLR1	0.0014528994828844498	PRC1	0.07394223245350537	MSRA	0.006482346389085995	HAVCR2	0.4100853398499049
LINC02422	0.00013952098280695406	AC020916.1	0.014475826991177804	PRPF18	0.38375355811876977	ROBO1	1.441042791082748e-06	TRBC1	0.657292526369102	WWOX	0.10140724540361105	NAP1L2	0.021437907797570075	PIGK	0.6126988381015531	CSTF2T	4.267344621640466e-11	ATP6V1A	4.525128414062253e-05	GRAMD1C	9.900334338160076e-12	SLC35B3	5.936676787902007e-10	PAN3-AS1	0.6832594522982318	HDX	2.0529000088979337e-07	BUD13	2.7513537777727014e-26	LINC01500	0.001439857977520823	FGFR1	0.07381991480032273	TSC22D1	0.006455956495301762	ZFAT	0.40870166809770825
ATP2C1	0.0001386900066100516	TEX264	0.014455435477646026	AL162497.1	0.37966640188192613	PIK3CG	1.4289555782158558e-06	PPM1F	0.6408506693268248	TRAPPC5	0.099568928428249	ANKS1A	0.021396985982428684	TMEM128	0.6087785521781568	ZC3HAV1	3.8772123790862314e-11	ATPAF2	4.4947193024732864e-05	CASTOR2	9.030266272204827e-12	GPHN	5.925171933045268e-10	EI24	0.6818831483833716	COG1	2.0363796199575087e-07	PTRH2	2.7360716791905525e-26	FBXW7	0.0014195820370505915	INPP5D	0.07378936124943969	C20orf194	0.006451567588469748	COL1A1	0.4084252676491271
MANEA	0.00013808358941861442	LINC01237	0.014406599164062082	SERPINF1	0.3736737653948362	ANAPC1	1.4189574297721075e-06	TGFB1	0.6393608423624513	EFCAB10	0.0981483543516506	HERC4	0.021362936448087927	LITAF	0.5834458161222926	CDC14A	3.7566998434296645e-11	SLC25A32	4.456297045985392e-05	EIF4G3	8.763094617310719e-12	SCAMP1	5.8509188826499e-10	ADGRE5	0.6817037083640476	PRC1	2.0327259099718173e-07	CRAMP1	2.73099636945599e-26	KCMF1	0.0014177518836540873	FILIP1L	0.07336269615911846	AC024940.1	0.0064384169689068165	RBM18	0.40621807437249247
RASSF3	0.00013753446930830904	EVI5	0.01437006747909604	EBF1	0.37133977966011433	NUP93	1.4121971503056699e-06	CBR3	0.6256195876858739	LITAF	0.09792304619532194	GCNT2	0.02134932985229217	LYN	0.5830192665169852	IMPDH1	3.550767409109796e-11	KIAA0513	4.348228363628135e-05	TRIO	8.546380730316294e-12	SYN3	5.845244867463906e-10	AGPAT1	0.6815242863464319	AUTS2	1.9733466243099888e-07	LINC01876	2.631427691553822e-26	RPIA	0.0014140981010683363	RPS10-NUDT3	0.07333229745805842	ERC1	0.006420920325331146	PACS1	0.4056673907815518
SLAMF6	0.00013704202061979952	PSD3	0.014349807424013776	AL161781.2	0.3706413514531961	MAK16	1.4034945175444875e-06	MSRB1	0.614655851571688	SKA2	0.09687315136036338	TTC37	0.02103174041156893	SNHG25	0.5827634065844921	IFI30	2.9158630255467175e-11	GPD2	4.34022423295699e-05	CLSTN3	8.46965643838849e-12	OAZ2	5.805676820781119e-10	COPRS	0.6802688370206151	RNLS	1.968917157282966e-07	ACER3	2.5830014792365165e-26	FAM13A	0.0013977632681139844	AC008269.1	0.07293805114120731	AL162390.1	0.0063947555667668386	AL392172.1	0.4056673907815518
AAMP	0.00013696010750260848	LYPLAL1	0.01424083790977682	SHF	0.36808743286144174	SERTAD3	1.4031001712263397e-06	CORO2A	0.6122836663672766	GATC	0.09470805958390457	TANC2	0.020998197794184867	RALB	0.5813997059180295	ITCH	2.856399394372114e-11	RB1-DT	4.3136446195851685e-05	MCM9	8.16126301098342e-12	SDR42E2	5.800045620550571e-10	VEGFA	0.6799102997370569	AP001347.1	1.9512951946555387e-07	MTRR	2.5567447339356205e-26	SNTG2	0.0013968608991620872	MTOR	0.07287755208649206	DTX4	0.006334077178631838	PCYT2	0.4056673907815518
